filename,class,Label,width,height
848617_jpg.rf.b6167489414b68fcfe2ccda38d24ac4a.jpg,ahaetulla prasina,0,322,333
203459385_jpg.rf.73858ce8179c66e61c2203f4966e88a2.jpg,bungarus caeruleus,2,244,359
178020213_jpg.rf.902a97ff37bebf466e6800e389762cdc.jpg,ptyas korros,10,281,240
AUG81008965_jpeg.rf.f10a9b8c28dba23257d0ee0594931a30.jpg,bungarus caeruleus,2,264,392
32814798_jpeg.rf.10944af1cd359dd50fca3e45185928f7.jpg,ahaetulla prasina,0,153,254
148092535_jpg.rf.0cd290dae8e5100691da7fa84446b2e7.jpg,trimeresurus albolabris,12,428,357
50700169_jpg.rf.cf4d651fc596757e0b50116ecd419366.jpg,ahaetulla prasina,0,286,400
12201860_jpg.rf.bc79e3e122694c0fc28153106e554000.jpg,chrysopelea ornata,4,239,230
141867635_jpg.rf.d2517e40dbbbc37f3aad6aa22ba7cb8b.jpg,naja naja,7,477,427
235718718_jpeg.rf.d8ca6c3474c854ed416719e00889e31a.jpg,daboia russelii,5,315,177
50700169_jpg.rf.432c2ea824236948f58957bfda18598b.jpg,ahaetulla prasina,0,370,286
169599236_jpeg.rf.b76d1db9ca78ceaa2e63cef4bd604858.jpg,ptyas korros,10,488,391
132165947_jpeg.rf.f4d982a9421a3b6d76143aa18692206e.jpg,ptyas korros,10,292,231
38394318_jpeg.rf.9b1927d37c828f3e016cdaae8353b747.jpg,ahaetulla prasina,0,252,333
219287981_jpeg.rf.97ffd97502df29461eb069879160b0ba.jpg,psammodynastes pulverulentus,9,417,375
AUG121987101_jpeg.rf.b9c691f0b38ec8d17a9455535922e77e.jpg,bungarus caeruleus,2,421,185
145541852_jpeg.rf.59a8c5a30dc21e853f1f827b9c160647.jpg,psammodynastes pulverulentus,9,363,334
155408628_jpeg.rf.3b0f92565eab4a9fc5e83eae2caf5ce1.jpg,xenochrophis piscator,14,375,479
208478998_jpeg.rf.ec370f8f017f36b44a8fe29c339828e3.jpg,xenochrophis piscator,14,295,375
11391062_jpg.rf.ec171fbc37418974db31779788ba8c44.jpg,dendrelaphis pictus,6,347,377
39595355_jpg.rf.e51a5765558b90a64a6eb887888ba3e9.jpg,ptyas mucosa,11,500,371
178038060_jpeg.rf.7772a50414d2512737b7dbc176e0941c.jpg,trimeresurus purpureomaculatus,13,407,256
154705165_jpeg.rf.6d15f99abdc21896b0d514a204fd3b93.jpg,trimeresurus purpureomaculatus,13,234,202
42768791_jpeg.rf.424b40f17f19ef40dc05cdd2296146b0.jpg,ahaetulla prasina,0,500,196
144061771_jpg.rf.cb67e0bf0a3ada9166018eb56c59ae46.jpg,naja naja,7,269,236
9593692_jpg.rf.896023b7ae149beeffb9cdb64dda6dff.jpg,ahaetulla prasina,0,193,334
199865632_jpeg.rf.188b5ab23749d72c3545a5fe602f4c16.jpg,ophiophagus hannah,8,187,261
38466882_jpg.rf.77a671211b725cf105078b18380de2ea.jpg,dendrelaphis pictus,6,214,298
102016366_jpg.rf.5bb5128b52d77833f63be242771b88b3.jpg,chrysopelea ornata,4,500,123
156260488_jpeg.rf.2e3cff8f412470a59c8aaf284b82ca2a.jpg,psammodynastes pulverulentus,9,269,304
71710155_jpeg.rf.acdb54ba61a9ebdbdafaa5ca8c8a9946.jpg,ophiophagus hannah,8,375,375
238438630_jpeg.rf.da7bac298317e767b66d6cb88731d6e0.jpg,daboia russelii,5,275,365
173944908_jpg.rf.972723b60d51197bce337fc6083a013b.jpg,xenochrophis piscator,14,193,333
112130039_jpeg.rf.90d9b7c2a9699c63342dbc81a475ec0e.jpg,dendrelaphis pictus,6,470,374
29672254_jpeg.rf.e588e0d598fcc7855c17c0d388756627.jpg,ahaetulla prasina,0,357,396
179008122_jpeg.rf.b1943248e4c730164e77c4c22ce39f1a.jpg,xenochrophis piscator,14,256,170
113471477_jpeg.rf.3923d3780cf47c8a6f72de553aac7b15.jpg,bungarus fasciatus,3,286,480
12201860_jpg.rf.7ed48254c68ee7e40febc42d89ad36ed.jpg,chrysopelea ornata,4,230,310
AUG107330224_jpeg.rf.db6a6f6d5a0a5f25b25027bb26b92e5c.jpg,naja naja,7,366,495
96404930_jpeg.rf.82b689cfed52f49fa41766d14088c4d8.jpg,xenochrophis piscator,14,118,52
103980796_jpg.rf.75fda502533233bdb64379566a4438d1.jpg,trimeresurus purpureomaculatus,13,196,106
155408657_jpeg.rf.6d78627d3c56bfd5931b228776bbef4f.jpg,xenochrophis piscator,14,375,500
154705208_jpeg.rf.fc317954d8420d5ddf62d629f32ca0e7.jpg,trimeresurus purpureomaculatus,13,119,157
207031708_jpeg.rf.ee341cd0daf7412c79c99920cc8b26ff.jpg,xenochrophis piscator,14,122,116
97864278_jpg.rf.0546352dd7dc26cfe0f39d47b5149ee2.jpg,trimeresurus albolabris,12,373,248
199555365_jpg.rf.df814180df7bd889a3339b26cbb59b9f.jpg,psammodynastes pulverulentus,9,331,409
98757136_jpeg.rf.c33ebdf73aa5f900ff1dd779c5e66ff5.jpg,ophiophagus hannah,8,338,217
162027182_jpeg.rf.229c5a96b92ab48dc49a64d5bb9081ce.jpg,bungarus caeruleus,2,212,253
42768791_jpeg.rf.fbee0f1d43db249f14982e5597f87b4c.jpg,ahaetulla prasina,0,196,330
48263353_jpg.rf.f6a529f64ba503dca7f553a900668696.jpg,bungarus fasciatus,3,174,265
11391062_jpg.rf.4aea417b09a306710e4cd462e3169a45.jpg,dendrelaphis pictus,6,347,377
11949720_jpg.rf.a53c5fdb8c6510c80779bf629880af2f.jpg,ptyas mucosa,11,127,287
31179901_jpeg.rf.5cf072e027a23b9ac2e6df8bb489b072.jpg,ptyas mucosa,11,323,263
AUG56365586_jpeg.rf.dde83c394ab7450618d0e2c7dc570f93.jpg,bungarus caeruleus,2,392,375
85026787_jpeg.rf.f978677c5604f86b52c9814d1cf25ec8.jpg,ahaetulla prasina,0,289,299
20493897_jpeg.rf.669ce7f78c1058af0b8c2b193ef59142.jpg,bungarus fasciatus,3,500,187
27935284_jpeg.rf.53bbc474788db34130168fd27292d444.jpg,ptyas mucosa,11,98,262
116044757_jpeg.rf.32287fbe6d6a6e7b55de2a5e407b007e.jpg,bungarus fasciatus,3,186,329
245234153_jpeg.rf.1c4ca217eb3588472b0ae30ff1057e79.jpg,trimeresurus purpureomaculatus,13,500,328
48263353_jpg.rf.ebf53b69a6575184136ffead559b2027.jpg,bungarus fasciatus,3,286,174
142271466_jpeg.rf.a8b44c2303e29b8c5b2c6aff125e175a.jpg,ophiophagus hannah,8,500,334
99602104_jpg.rf.0bf6ef56af0893325562d9863172a095.jpg,ptyas korros,10,344,304
11697412_jpeg.rf.dc22efbc44f7277e1ba69219ee8d6ab5.jpg,dendrelaphis pictus,6,333,252
32004260_jpeg.rf.e894e3b7da66043530d09761ad87321d.jpg,bungarus fasciatus,3,299,281
222175838_jpeg.rf.554bcf4bc6322a420e7654cfe1e93cd2.jpg,xenochrophis piscator,14,88,159
169599287_jpeg.rf.99f47accba723868940d7dbae4b2cbc1.jpg,ptyas korros,10,500,445
AUG154534247_jpeg.rf.479cd4a6c6f24d1d1b342c0b1a924e8d.jpg,naja naja,7,340,401
71769494_jpeg.rf.56bf6a7164a9fea7e48050c4bea34f8c.jpg,dendrelaphis pictus,6,318,434
AUG8815618997_jpg.rf.fd7dc6eb1a3326a224096103d738c177.jpg,daboia russelii,5,375,191
AUG107330224_jpeg.rf.2f36972a3e9b315433096c91bd2bbe86.jpg,naja naja,7,375,387
114915060_jpg.rf.cd2494b0b0cd20deee7e9336c95afb82.jpg,ophiophagus hannah,8,281,166
AUG54206354_jpeg.rf.c0b34d738bd3b98cad0701b34a3ac986.jpg,daboia russelii,5,358,246
219633574_jpeg.rf.3859d369e2aac1cb68cd37499bc2710b.jpg,psammodynastes pulverulentus,9,283,116
113535444_jpeg.rf.071b6eb7e42ab80d7865a7d9125a7e93.jpg,dendrelaphis pictus,6,256,333
153465525_jpg.rf.bdd2d928ec88b798447852cf0f34491e.jpg,trimeresurus purpureomaculatus,13,287,304
113555626_jpg.rf.d575497922ca181a6fe5333cad636a07.jpg,xenochrophis piscator,14,411,136
218858367_jpeg.rf.ec910d6b79a007276ca939b9662064c7.jpg,bungarus caeruleus,2,364,243
85952087_jpg.rf.a401f1aa5db24b48437710db9cc4082b.jpg,dendrelaphis pictus,6,135,375
186364164_jpg.rf.19f63c33fbead8fc3790d5687e06687b.jpg,psammodynastes pulverulentus,9,256,308
92261996_jpeg.rf.e27f808d4961a38b99344e45ff3e28b5.jpg,dendrelaphis pictus,6,434,436
146780820_jpeg.rf.6d5e13f296f30b28639a63c3a8713bc2.jpg,bungarus caeruleus,2,88,288
132765314_jpeg.rf.d34e6a08c4524756311832ae82b38714.jpg,ophiophagus hannah,8,72,364
32002258_jpeg.rf.e55d4b17b729a0145a234c7ff403505b.jpg,trimeresurus albolabris,12,236,186
28286656_jpg.rf.9c0fa64474fd4e14bfb493656f3302be.jpg,ahaetulla prasina,0,409,293
91394895_jpg.rf.58fe5fb7ed457e3ef52139f57ebeec00.jpg,naja naja,7,400,375
109582184_jpeg.rf.2356867eea52c419abff95560699afff.jpg,dendrelaphis pictus,6,335,165
154926145_jpg.rf.0517eb37f9b696c0d9fe8804a7f01948.jpg,trimeresurus purpureomaculatus,13,134,313
97059162_jpg.rf.72f8106875e7731a5a32ab20973ac731.jpg,trimeresurus albolabris,12,500,450
88354099_jpeg.rf.3189ea83c2b3d379fcff49008514fdbe.jpg,bungarus fasciatus,3,387,264
92823438_jpg.rf.7afe040f0daf895d919a46913f8701d2.jpg,daboia russelii,5,157,260
244802899_jpeg.rf.340f42ab51507ec5ec581163b04cca62.jpg,xenochrophis piscator,14,494,72
AUG7178873785_jpg.rf.32a35630748f1719a0fd50355e8bc23a.jpg,bungarus caeruleus,2,500,166
162851498_jpg.rf.1425ecddd2f3e34e9a15a02e85d1b31f.jpg,naja naja,7,178,301
64059994_jpg.rf.9a7769364a0bf395ebde05cd821d5e5c.jpg,trimeresurus purpureomaculatus,13,291,203
138960453_jpeg.rf.09be729f2d97788fb436dce9b4e68087.jpg,trimeresurus purpureomaculatus,13,290,333
61176282_jpeg.rf.a10268f8f126bb0609482fc6bc6e9198.jpg,amphiesma stolatum,1,257,375
141867659_jpg.rf.eca75f114b34de1d037625e561340ba9.jpg,naja naja,7,367,418
133325084_jpeg.rf.62b9f9792f4c76bedc59ed75e03879ba.jpg,psammodynastes pulverulentus,9,157,174
145541852_jpeg.rf.1e116b16b9f7069275e7fc09b5e9f31e.jpg,psammodynastes pulverulentus,9,334,377
45980738_jpg.rf.62625d31521149ef82c113bede878f0a.jpg,trimeresurus albolabris,12,451,355
30921907_jpeg.rf.2c9758237d1d7e813b9c59fa32c24eea.jpg,ptyas mucosa,11,281,193
32084334_jpg.rf.a144a961ede82c831153dae7efde2db3.jpg,ahaetulla prasina,0,288,378
107524967_jpg.rf.8806b3aa49ea358f6d9045efdc8497db.jpg,ptyas mucosa,11,148,260
75370695_jpg.rf.21906db1b63c2dc6dfc89b3b04c6b9ad.jpg,trimeresurus albolabris,12,275,272
12179257_jpg.rf.4e03f2a73e5326ef42ae6fe276ef52c1.jpg,trimeresurus albolabris,12,256,333
27935284_jpeg.rf.f24678fee4c4784ef72641d3db94136d.jpg,ptyas mucosa,11,256,171
141867602_jpg.rf.6b97bf74038de53836450a4b8cf5c749.jpg,naja naja,7,376,369
176460933_jpg.rf.65b47353d220edac73c8a990994ba197.jpg,psammodynastes pulverulentus,9,431,426
139695889_jpg.rf.20e443a626501eccc77103a49ab57468.jpg,ptyas korros,10,375,342
85809436_jpeg.rf.49980de7ee1d6275f48572893fea3d87.jpg,ahaetulla prasina,0,400,390
175971446_jpeg.rf.d1aea7940df4ce13d9615eb514139890.jpg,daboia russelii,5,500,256
32008587_jpg.rf.e8b04a62de7e529d3f5a16105dcc6cd3.jpg,bungarus fasciatus,3,365,281
166743882_jpg.rf.49eece5d23f56bbfc0c78491109b5063.jpg,psammodynastes pulverulentus,9,500,322
75287804_jpg.rf.474f6f53473d66770868a1f6251ec1da.jpg,trimeresurus albolabris,12,212,295
64574593_jpg.rf.65452e1d70a52bb7b66a6c1ce9dd5995.jpg,bungarus fasciatus,3,500,145
147434077_jpeg.rf.a330bc3afce69d713ec67c90bf9cbf30.jpg,amphiesma stolatum,1,402,375
169064196_jpeg.rf.2f2269331207c85846f5638ccf82fe18.jpg,ptyas korros,10,230,226
53041509_jpg.rf.20f6e94da621c68d293f81aad0586761.jpg,ahaetulla prasina,0,115,301
244802942_jpeg.rf.a43fc2eb206705816eeec950f28d83b5.jpg,xenochrophis piscator,14,330,344
139712742_jpeg.rf.36cdf4e6d896bcc6ecec05318b27fa34.jpg,amphiesma stolatum,1,369,64
102016349_jpg.rf.b3a705d4af1f78b08f15a071a89bc3fb.jpg,chrysopelea ornata,4,423,471
146305553_jpg.rf.fc2e293049a7391ef738e3e109c1cb8c.jpg,xenochrophis piscator,14,500,182
25525581_jpeg.rf.3e2e7259fd66ee12eeb4632d1279c180.jpg,ptyas mucosa,11,222,375
9593691_jpg.rf.af56288a44e2d248122a498c70a25387.jpg,ahaetulla prasina,0,334,366
71834037_jpg.rf.e17aac1aecec249a54b4dd043fbe0fe8.jpg,trimeresurus albolabris,12,75,179
128755239_jpeg.rf.6d40dc0cf5967038495b1d63b6c13544.jpg,ptyas korros,10,248,237
34630551_jpeg.rf.858b12d9a8ef528a45eeb16dfa143de9.jpg,bungarus fasciatus,3,363,87
107260069_jpg.rf.1f762367f270a5b43fe2bb163dd42426.jpg,chrysopelea ornata,4,474,311
33079681_jpeg.rf.a09b3a36077d1027bb27b0c1ea6cef35.jpg,dendrelaphis pictus,6,383,192
44713862_jpeg.rf.5c3e425e23db964ead0c145a75e00987.jpg,ptyas mucosa,11,360,480
4455172_jpeg.rf.14aec7cadb7999f08ade805752d8586d.jpg,chrysopelea ornata,4,271,325
AUG101572887_jpeg.rf.35d6e738b4ef1de2e511c59338ca57ee.jpg,bungarus caeruleus,2,236,202
176247022_jpeg.rf.6ef8d2b6496885f7e3afcd9158828b96.jpg,trimeresurus purpureomaculatus,13,318,304
218858435_jpeg.rf.66982c27be7aabf109bd097a4b5b1327.jpg,bungarus caeruleus,2,197,264
204030839_jpg.rf.0d1e00c858503bb862882e6eafba1608.jpg,ptyas korros,10,500,333
AUG19796018_jpeg.rf.62d8ca93b67e2e152766b3999a22d348.jpg,bungarus caeruleus,2,442,237
110498948_jpeg.rf.82d9fbbed144ba6a0d04454cd36f9063.jpg,naja naja,7,374,200
117758979_jpeg.rf.19c585abab9ac214fef1d3bfc767dcac.jpg,trimeresurus purpureomaculatus,13,472,332
154705208_jpeg.rf.bc14fd7b2c97c16c52b2c117000f0d70.jpg,trimeresurus purpureomaculatus,13,119,157
167123418_jpeg.rf.8b2fc4816e4e68e8e27ca81f86353c3b.jpg,naja naja,7,87,56
97864311_jpg.rf.b5d4e9d3f963ee3f1d42d8f9e71a5e2b.jpg,trimeresurus albolabris,12,234,333
148441401_jpg.rf.8f5431497de76048802a4b855cd4d672.jpg,amphiesma stolatum,1,41,375
AUG154534247_jpeg.rf.fe8ec4609761270abd705c5df5f9d3eb.jpg,naja naja,7,340,401
101702767_jpeg.rf.188f5d20014e0761487ee2585b678d88.jpg,amphiesma stolatum,1,301,281
162851498_jpg.rf.3f24e1353e6b094ddce0b830e6136b59.jpg,naja naja,7,178,301
239503373_jpeg.rf.20acfc5625b4d11254955486cd06f1ab.jpg,trimeresurus purpureomaculatus,13,343,313
32002951_jpeg.rf.4015cadd0ce6892e17926d4457376dd6.jpg,amphiesma stolatum,1,183,281
95836831_jpeg.rf.2236c8e19325f2ee89e33f8c0f77c7e1.jpg,trimeresurus purpureomaculatus,13,300,358
146081331_jpeg.rf.791b427a417e6af01e7429313fa720a1.jpg,psammodynastes pulverulentus,9,500,182
95923178_jpg.rf.a2c322c3ed74f1c0cde8f6278b780550.jpg,xenochrophis piscator,14,150,117
97864278_jpg.rf.5a8c6e736dc0a507d0670ff10bd66d59.jpg,trimeresurus albolabris,12,374,248
42571110_jpeg.rf.8a0b0434e895016173b18078626bcfef.jpg,ahaetulla prasina,0,237,231
AUG167123398_jpeg.rf.92ef8a8032d2145645e9499b40b4763c.jpg,naja naja,7,261,187
248342002_jpeg.rf.36ade38452431277136c2eac3acde85c.jpg,xenochrophis piscator,14,441,202
