filename,path,width,height,aspect_ratio,mode,format,file_size_kb,extension,file_size_bytes,is_corrupted,error,class,dataset_total_images,dataset_total_classes,largest_class_images,smallest_class_images,imbalance_ratio,generated_at
10019777_jpg.rf.3fa3e9e51685dbbe4ac0e468b1e18f13.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\10019777_jpg.rf.3fa3e9e51685dbbe4ac0e468b1e18f13.jpg,500,333,1.5,RGB,JPEG,27.67,.jpg,28333,False,,bungarus fasciatus,6109,15,425,372,1.14,2026-07-17 14:55:12
10019777_jpg.rf.5083e029e03108620060ed89b3d28a17.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\10019777_jpg.rf.5083e029e03108620060ed89b3d28a17.jpg,500,333,1.5,RGB,JPEG,27.61,.jpg,28268,False,,bungarus fasciatus,6109,15,425,372,1.14,2026-07-17 14:55:12
10019777_jpg.rf.eac431f9b2eeb2fbfe0f0f2271336e9c.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\10019777_jpg.rf.eac431f9b2eeb2fbfe0f0f2271336e9c.jpg,500,333,1.5,RGB,JPEG,44.68,.jpg,45755,False,,bungarus fasciatus,6109,15,425,372,1.14,2026-07-17 14:55:12
100346464_jpeg.rf.4614a9c08bc56c3908022f26e4b1f95b.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100346464_jpeg.rf.4614a9c08bc56c3908022f26e4b1f95b.jpg,387,353,1.1,RGB,JPEG,27.86,.jpg,28525,False,,ptyas mucosa,6109,15,425,372,1.14,2026-07-17 14:55:12
100346464_jpeg.rf.646aa5d6668eea795644469e9ec187b9.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100346464_jpeg.rf.646aa5d6668eea795644469e9ec187b9.jpg,387,353,1.1,RGB,JPEG,28.06,.jpg,28735,False,,ptyas mucosa,6109,15,425,372,1.14,2026-07-17 14:55:12
100346464_jpeg.rf.b60949c38727d698a55fcfc74df603f5.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100346464_jpeg.rf.b60949c38727d698a55fcfc74df603f5.jpg,387,353,1.1,RGB,JPEG,30.6,.jpg,31339,False,,ptyas mucosa,6109,15,425,372,1.14,2026-07-17 14:55:12
100640627_jpeg.rf.66aff124ee4b0f4c62b5515171863ae2.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100640627_jpeg.rf.66aff124ee4b0f4c62b5515171863ae2.jpg,500,375,1.33,RGB,JPEG,33.51,.jpg,34318,False,,trimeresurus purpureomaculatus,6109,15,425,372,1.14,2026-07-17 14:55:12
100640627_jpeg.rf.71dd044d94e0d76955e4952cf197434f.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100640627_jpeg.rf.71dd044d94e0d76955e4952cf197434f.jpg,500,375,1.33,RGB,JPEG,32.78,.jpg,33565,False,,trimeresurus purpureomaculatus,6109,15,425,372,1.14,2026-07-17 14:55:12
100640627_jpeg.rf.78e737acbe2ac97ee7e2f5ce324ac6fa.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100640627_jpeg.rf.78e737acbe2ac97ee7e2f5ce324ac6fa.jpg,500,375,1.33,RGB,JPEG,34.65,.jpg,35479,False,,trimeresurus purpureomaculatus,6109,15,425,372,1.14,2026-07-17 14:55:12
100681893_jpg.rf.08f818f57afcbf22a4b299aecfc1fb80.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100681893_jpg.rf.08f818f57afcbf22a4b299aecfc1fb80.jpg,375,500,0.75,RGB,JPEG,29.1,.jpg,29803,False,,amphiesma stolatum,6109,15,425,372,1.14,2026-07-17 14:55:12
100681893_jpg.rf.4b255b055ce1333c43996247c9e19ac7.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100681893_jpg.rf.4b255b055ce1333c43996247c9e19ac7.jpg,375,500,0.75,RGB,JPEG,36.86,.jpg,37744,False,,amphiesma stolatum,6109,15,425,372,1.14,2026-07-17 14:55:12
100681893_jpg.rf.5d7af1118e09dbef655900b6dbc99d95.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100681893_jpg.rf.5d7af1118e09dbef655900b6dbc99d95.jpg,375,500,0.75,RGB,JPEG,39.56,.jpg,40510,False,,amphiesma stolatum,6109,15,425,372,1.14,2026-07-17 14:55:12
100681923_jpg.rf.1ba27a2b7fee81c7d930d49615cf092f.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100681923_jpg.rf.1ba27a2b7fee81c7d930d49615cf092f.jpg,375,500,0.75,RGB,JPEG,31.96,.jpg,32723,False,,amphiesma stolatum,6109,15,425,372,1.14,2026-07-17 14:55:12
100681923_jpg.rf.29abe8743ba7939c61d20c548d0d3258.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100681923_jpg.rf.29abe8743ba7939c61d20c548d0d3258.jpg,375,500,0.75,RGB,JPEG,45.26,.jpg,46346,False,,amphiesma stolatum,6109,15,425,372,1.14,2026-07-17 14:55:12
100681923_jpg.rf.56198e58abfc1b8e82acc1ad60233728.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\100681923_jpg.rf.56198e58abfc1b8e82acc1ad60233728.jpg,375,500,0.75,RGB,JPEG,31.77,.jpg,32533,False,,amphiesma stolatum,6109,15,425,372,1.14,2026-07-17 14:55:12
101211794_jpeg.rf.57c76ff543aa5aa5a56f4bb69c2a8268.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101211794_jpeg.rf.57c76ff543aa5aa5a56f4bb69c2a8268.jpg,500,375,1.33,RGB,JPEG,68.09,.jpg,69720,False,,ptyas mucosa,6109,15,425,372,1.14,2026-07-17 14:55:12
101211794_jpeg.rf.9ca463f2f05683d12a9b625f4e015a9d.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101211794_jpeg.rf.9ca463f2f05683d12a9b625f4e015a9d.jpg,500,375,1.33,RGB,JPEG,61.87,.jpg,63356,False,,ptyas mucosa,6109,15,425,372,1.14,2026-07-17 14:55:12
101211794_jpeg.rf.bcfcd8f02fc9da83d40b0e0c2dea5f81.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101211794_jpeg.rf.bcfcd8f02fc9da83d40b0e0c2dea5f81.jpg,500,375,1.33,RGB,JPEG,48.01,.jpg,49160,False,,ptyas mucosa,6109,15,425,372,1.14,2026-07-17 14:55:12
101458264_jpeg.rf.64fce24dbc3916b60c255368b99528eb.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101458264_jpeg.rf.64fce24dbc3916b60c255368b99528eb.jpg,500,354,1.41,RGB,JPEG,37.82,.jpg,38726,False,,bungarus fasciatus,6109,15,425,372,1.14,2026-07-17 14:55:12
101458264_jpeg.rf.bce06e5ec98517c4f46f0139246062de.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101458264_jpeg.rf.bce06e5ec98517c4f46f0139246062de.jpg,500,354,1.41,RGB,JPEG,36.77,.jpg,37650,False,,bungarus fasciatus,6109,15,425,372,1.14,2026-07-17 14:55:12
101458264_jpeg.rf.cf11fa912af358d60c0e23ad4d17d338.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101458264_jpeg.rf.cf11fa912af358d60c0e23ad4d17d338.jpg,500,354,1.41,RGB,JPEG,37.53,.jpg,38435,False,,bungarus fasciatus,6109,15,425,372,1.14,2026-07-17 14:55:12
101567232_jpeg.rf.15696c19aaf26f017c04ea8808d8cfb9.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567232_jpeg.rf.15696c19aaf26f017c04ea8808d8cfb9.jpg,500,401,1.25,RGB,JPEG,48.78,.jpg,49946,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567232_jpeg.rf.aa87b6f5dfa03f8792e0c64ce7ddb7c4.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567232_jpeg.rf.aa87b6f5dfa03f8792e0c64ce7ddb7c4.jpg,500,401,1.25,RGB,JPEG,38.28,.jpg,39197,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567232_jpeg.rf.bbd4bdaae96f49cf3f4b326fc0e68e18.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567232_jpeg.rf.bbd4bdaae96f49cf3f4b326fc0e68e18.jpg,500,401,1.25,RGB,JPEG,39.18,.jpg,40116,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567240_jpeg.rf.a025f6a3b1ea4bb41451dd283f1b662b.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567240_jpeg.rf.a025f6a3b1ea4bb41451dd283f1b662b.jpg,500,230,2.17,RGB,JPEG,39.75,.jpg,40703,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567240_jpeg.rf.e993b45dc5035c77b94284de8ecb9b99.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567240_jpeg.rf.e993b45dc5035c77b94284de8ecb9b99.jpg,500,230,2.17,RGB,JPEG,40.16,.jpg,41126,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567240_jpeg.rf.eba14e9bdc324fbc8c1ed2d98534735b.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567240_jpeg.rf.eba14e9bdc324fbc8c1ed2d98534735b.jpg,500,230,2.17,RGB,JPEG,40.9,.jpg,41884,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567251_jpeg.rf.31c366bc29bcffaeb81b404ddfae2300.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567251_jpeg.rf.31c366bc29bcffaeb81b404ddfae2300.jpg,500,375,1.33,RGB,JPEG,34.08,.jpg,34901,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567251_jpeg.rf.7f6764209048108f44a3c93a19070aa7.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567251_jpeg.rf.7f6764209048108f44a3c93a19070aa7.jpg,500,375,1.33,RGB,JPEG,37.34,.jpg,38236,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567251_jpeg.rf.bbf264427f86ea425d55359a03f07dda.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567251_jpeg.rf.bbf264427f86ea425d55359a03f07dda.jpg,500,375,1.33,RGB,JPEG,33.94,.jpg,34753,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567257_jpeg.rf.0309dd7f0e4a387ad8e5605b5e2a0dff.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567257_jpeg.rf.0309dd7f0e4a387ad8e5605b5e2a0dff.jpg,500,230,2.17,RGB,JPEG,34.01,.jpg,34824,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567257_jpeg.rf.33c26c185d23d2fda4ed219686a53451.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567257_jpeg.rf.33c26c185d23d2fda4ed219686a53451.jpg,500,230,2.17,RGB,JPEG,33.7,.jpg,34507,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567257_jpeg.rf.e20739bda8720754f03ede8e870b247d.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567257_jpeg.rf.e20739bda8720754f03ede8e870b247d.jpg,500,230,2.17,RGB,JPEG,33.68,.jpg,34490,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
101567263_jpeg.rf.6c620fc7fe50bbea7cb95a299036ccd6.jpg,f:\Samir\Projects\SnakeSense\Filtered_Train\101567263_jpeg.rf.6c620fc7fe50bbea7cb95a299036ccd6.jpg,500,325,1.54,RGB,JPEG,24.71,.jpg,25298,False,,chrysopelea ornata,6109,15,425,372,1.14,2026-07-17 14:55:12
